sample,sample_code,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C,season,type,richness,neutral,phylogenetic,functional
EHI02115,AAQ18E1L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.5432,28632896,22755,0.14736477495088984,4104806509,3428911,0.18442846719930683,18.7771819468409,0.955938408900694,autumn,protected,8,5.4368266139396875,3.518856536733467,1.339036896735396
EHI01619,AGO81E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.4952,31727598,9419,0.02897758809765094,4685314810,1610432,0.04371173367891656,19.8754977234269,0.740658337688869,spring,urban,324,176.5600698572225,6.419515205083279,1.53370594104823
EHI02610,AGP43E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.5868,27912668,2261,0.02309277533638476,4105220256,359149,0.04206692526976241,18.7523162772926,0.838194679302178,autumn,natural,225,62.02479853742402,7.201166419870853,1.5104779315194516
EHI02609,AGO09E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.6331,31669610,4220,0.01921094285432023,4661246383,620091,0.0374983833453133,19.3667883641046,0.825573694938881,autumn,urban,343,167.11805413258418,9.077283004953724,1.5405721214162824
EHI01439,AAP07E1L1I1,Lissotriton helveticus,Zarautz,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.288526,-2.189324,0.6984,21253600,3504,0.02195268378123682,3161937387,553848,0.0297906974325568,19.0087313554368,0.822101385102888,spring,protected,209,101.42236481190544,6.701542355569787,1.5373749505218406
EHI02128,AAQ18E2L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.4161,34586276,51763,0.1216661240506548,4931716843,7418441,0.1637897379037685,17.3177431039468,0.988018264568206,autumn,protected,1,1,1,1
EHI01617,AAQ20E1L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.591,16402812,3526,0.02909688461007109,2428592048,600034,0.04142039373316086,18.9249615720197,0.786076509609623,spring,protected,159,69.87081860249559,7.529959339129502,1.627984529258619
EHI02572,AGO07E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.5611999999999999,33155320,7321,0.02714861492886267,4880002446,1104376,0.04518258659286511,21.876731237983,0.424027121426191,autumn,natural,31,21.286741269387612,4.6501168523071215,1.554406853576324
EHI02626,AGP44E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.6504000000000001,24015624,3414,0.03399687556489506,3528358847,600853,0.05367547498645864,17.2373195010464,0.879163057094924,autumn,natural,41,14.7793493618182,2.52015007860249,1.4283773872932044
EHI01613,AAP49E1L1I1,Lissotriton helveticus,Irun,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.326249,-1.77319,0.7190000000000001,21447652,21018,0.02184306218803866,3167741867,3535185,0.03578982285561638,18.1019355697074,0.830179603434453,spring,natural,141,36.9371014582453,7.330574859997328,1.8124214554688582
